Muestas,Series,Be-mean,y(k),n in box,Box,Slope,y-intercept,Slope,y-intercept,yn(k),[y(k)-yn(k)]^2,,n in box,Log(n),LogF(n),nb of boxes,,,,
1,1.113,-0.037,-0.037,1,1,-0.015,-0.021,-0.015,-0.021,-0.036,3.39E-07,,10,1.000,-1.791,73,,,,
2,1.14,-0.010,-0.046,2,1,,,-0.015,-0.021,-0.051,2.67E-05,,,,,,,,,
3,1.143,-0.007,-0.053,3,1,,,-0.015,-0.021,-0.066,1.94E-04,,10,1.000,-1.791,,11,,1,-0.037
4,1.12,-0.030,-0.082,4,1,,,-0.015,-0.021,-0.082,1.07E-07,,11,1.041,-1.719,,12,,2,-0.046
5,1.117,-0.033,-0.115,5,1,,,-0.015,-0.021,-0.097,3.09E-04,,12,1.079,-1.706,,13,,3,-0.053
6,1.14,-0.010,-0.124,6,1,,,-0.015,-0.021,-0.112,1.40E-04,,13,1.114,-1.605,,14,,4,-0.082
7,1.14,-0.010,-0.134,7,1,,,-0.015,-0.021,-0.127,3.69E-05,,15,1.176,-1.571,,15,,5,-0.115
8,1.15,0.000,-0.133,8,1,,,-0.015,-0.021,-0.143,9.37E-05,,16,1.204,-1.544,,16,,6,-0.124
9,1.127,-0.023,-0.156,9,1,,,-0.015,-0.021,-0.158,5.91E-06,,17,1.230,-1.580,,17,,7,-0.134
10,1.137,-0.013,-0.168,10,1,,,-0.015,-0.021,-0.173,2.69E-05,,19,1.279,-1.491,,18,,8,-0.133
11,1.133,-0.017,-0.185,1,2,-0.040,0.262,-0.040,0.262,-0.174,1.05E-04,,21,1.322,-1.452,,19,,9,-0.156
12,1.12,-0.030,-0.214,2,2,,,-0.040,0.262,-0.214,5.29E-09,,23,1.362,-1.418,,20,,10,-0.168
13,1.113,-0.037,-0.251,3,2,,,-0.040,0.262,-0.254,9.55E-06,,25,1.398,-1.358,,21,,,
14,1.107,-0.043,-0.293,4,2,,,-0.040,0.262,-0.293,6.48E-08,,27,1.431,-1.393,,22,,,
15,1.113,-0.037,-0.330,5,2,,,-0.040,0.262,-0.333,1.17E-05,,29,1.462,-1.330,,23,,,
16,1.113,-0.037,-0.366,6,2,,,-0.040,0.262,-0.373,4.33E-05,,32,1.505,-1.301,,24,,,
17,1.113,-0.037,-0.403,7,2,,,-0.040,0.262,-0.412,9.50E-05,,35,1.544,-1.291,,25,,,
18,1.1,-0.050,-0.452,8,2,,,-0.040,0.262,-0.452,8.26E-09,,38,1.580,-1.253,,26,,,
19,1.107,-0.043,-0.495,9,2,,,-0.040,0.262,-0.492,8.57E-06,,41,1.613,-1.254,,27,,,
20,1.103,-0.047,-0.541,10,2,,,-0.040,0.262,-0.531,9.53E-05,,45,1.653,-1.255,,28,,,
21,1.1,-0.050,-0.591,1,3,-0.037,0.168,-0.037,0.168,-0.609,3.58E-04,,49,1.690,-1.157,,29,,,
22,1.107,-0.043,-0.633,2,3,,,-0.037,0.168,-0.647,1.80E-04,,54,1.732,-1.095,,30,,,
23,1.107,-0.043,-0.676,3,3,,,-0.037,0.168,-0.684,6.28E-05,,59,1.771,-1.139,,31,,,
24,1.097,-0.053,-0.728,4,3,,,-0.037,0.168,-0.721,5.72E-05,,64,1.806,-1.036,,32,,,
25,1.103,-0.047,-0.775,5,3,,,-0.037,0.168,-0.758,2.91E-04,,70,1.845,-1.023,,33,,,
26,1.107,-0.043,-0.817,6,3,,,-0.037,0.168,-0.795,5.08E-04,,76,1.881,-0.999,,34,,,
27,1.1,-0.050,-0.867,7,3,,,-0.037,0.168,-0.832,1.23E-03,,83,1.919,-0.899,,35,,,
28,1.137,-0.013,-0.879,8,3,,,-0.037,0.168,-0.869,1.11E-04,,91,1.959,-0.896,,36,,,
29,1.137,-0.013,-0.892,9,3,,,-0.037,0.168,-0.906,1.95E-04,,99,1.996,-0.792,,37,,,
30,1.137,-0.013,-0.904,10,3,,,-0.037,0.168,-0.943,1.48E-03,,108,2.033,-0.836,,38,,,
31,1.137,-0.013,-0.917,1,4,-0.038,0.288,-0.038,0.288,-0.905,1.35E-04,,117,2.068,-0.839,,39,,,
32,1.127,-0.023,-0.939,2,4,,,-0.038,0.288,-0.943,1.87E-05,,128,2.107,-0.798,,40,,,
33,1.11,-0.040,-0.979,3,4,,,-0.038,0.288,-0.982,1.08E-05,,140,2.146,-0.764,,41,,,
34,1.107,-0.043,-1.021,4,4,,,-0.038,0.288,-1.020,5.56E-07,,152,2.182,-0.755,,42,,,
35,1.11,-0.040,-1.061,5,4,,,-0.038,0.288,-1.059,3.17E-06,,166,2.220,-0.759,,43,,,
36,1.123,-0.027,-1.087,6,4,,,-0.038,0.288,-1.097,1.04E-04,,181,2.258,-0.770,,44,,,
37,1.113,-0.037,-1.124,7,4,,,-0.038,0.288,-1.136,1.48E-04,,,,,,,,,
38,1.097,-0.053,-1.176,8,4,,,-0.038,0.288,-1.174,3.58E-06,,,,,,,,,
39,1.1,-0.050,-1.226,9,4,,,-0.038,0.288,-1.213,1.67E-04,,,,,,,,,
40,1.123,-0.027,-1.252,10,4,,,-0.038,0.288,-1.251,9.29E-07,,,,,,,,,
41,1.14,-0.010,-1.262,1,5,-0.023,-0.308,-0.023,-0.308,-1.257,2.07E-05,,,,,,,,,
42,1.133,-0.017,-1.278,2,5,,,-0.023,-0.308,-1.280,4.45E-06,,,,,,,,,
43,1.123,-0.027,-1.305,3,5,,,-0.023,-0.308,-1.303,1.53E-06,,,,,,,,,
44,1.12,-0.030,-1.334,4,5,,,-0.023,-0.308,-1.327,5.75E-05,,,,,,,,,
45,1.14,-0.010,-1.344,5,5,,,-0.023,-0.308,-1.350,3.69E-05,,,,,,,,,
