Ano, Total, Hombre, Mujer, No especificado
1990,14493,12932,1519,42
1991,15128,13553,1534,41
1992,16594,14935,1623,36
1993,16040,14468,1553,19
1994,15839,14343,1476,20
1995,15612,14067,1525,20
1996,14505,13030,1460,15
1997,13552,12166,1370,16
1998,13656,12111,1531,14
1999,12249,10827,1411,11
2000,10737,9442,1284,11
2001,10285,8986,1282,17
2002,10088,8797,1280,11
2003,10087,8754,1316,17
2004,9329,8115,1206,8
2005,9921,8610,1297,14
2006,10452,9143,1298,11
2007,8867,7776,1083,8
2008,14006,12574,1425,7
2009,19803,17838,1925,40
2010,25757,23285,2418,54
2011,27213,24257,2693,263
2012,25967,22986,2764,217
2013,23063,20280,2648,135
2014,20010,17503,2408,99
2015,20762,18293,2383,86
2016,24559,21673,2813,73
2017,32079,28522,3430,127
2018,36685,32765,3752,168
2019,36661,32530,3893,238
2020,36773,32336,3957,480
